Question,Category,SubCategory
Kabul Afghanistan Baghdad Iraq,semeantic,: capital-common-countries
Kabul Afghanistan Bangkok Thailand,semeantic,: capital-common-countries
Kabul Afghanistan Beijing China,semeantic,: capital-common-countries
Kabul Afghanistan Berlin Germany,semeantic,: capital-common-countries
Kabul Afghanistan Bern Switzerland,semeantic,: capital-common-countries
Kabul Afghanistan Cairo Egypt,semeantic,: capital-common-countries
Kabul Afghanistan Canberra Australia,semeantic,: capital-common-countries
Kabul Afghanistan Hanoi Vietnam,semeantic,: capital-common-countries
Kabul Afghanistan Havana Cuba,semeantic,: capital-common-countries
Kabul Afghanistan Helsinki Finland,semeantic,: capital-common-countries
Kabul Afghanistan Islamabad Pakistan,semeantic,: capital-common-countries
London England Madrid Spain,semeantic,: capital-common-countries
London England Moscow Russia,semeantic,: capital-common-countries
London England Oslo Norway,semeantic,: capital-common-countries
London England Ottawa Canada,semeantic,: capital-common-countries
London England Paris France,semeantic,: capital-common-countries
London England Rome Italy,semeantic,: capital-common-countries
London England Stockholm Sweden,semeantic,: capital-common-countries
London England Tehran Iran,semeantic,: capital-common-countries
London England Tokyo Japan,semeantic,: capital-common-countries
London England Athens Greece,semeantic,: capital-common-countries
London England Baghdad Iraq,semeantic,: capital-common-countries
London England Bangkok Thailand,semeantic,: capital-common-countries
London England Beijing China,semeantic,: capital-common-countries
London England Berlin Germany,semeantic,: capital-common-countries
London England Bern Switzerland,semeantic,: capital-common-countries
London England Cairo Egypt,semeantic,: capital-common-countries
London England Canberra Australia,semeantic,: capital-common-countries
London England Hanoi Vietnam,semeantic,: capital-common-countries
London England Havana Cuba,semeantic,: capital-common-countries
London England Helsinki Finland,semeantic,: capital-common-countries
London England Islamabad Pakistan,semeantic,: capital-common-countries
London England Kabul Afghanistan,semeantic,: capital-common-countries
Madrid Spain Moscow Russia,semeantic,: capital-common-countries
Madrid Spain Oslo Norway,semeantic,: capital-common-countries
Madrid Spain Ottawa Canada,semeantic,: capital-common-countries
Madrid Spain Paris France,semeantic,: capital-common-countries
Madrid Spain Rome Italy,semeantic,: capital-common-countries
Madrid Spain Stockholm Sweden,semeantic,: capital-common-countries
Madrid Spain Tehran Iran,semeantic,: capital-common-countries
Madrid Spain Tokyo Japan,semeantic,: capital-common-countries
Madrid Spain Athens Greece,semeantic,: capital-common-countries
Madrid Spain Baghdad Iraq,semeantic,: capital-common-countries
Madrid Spain Bangkok Thailand,semeantic,: capital-common-countries
Madrid Spain Beijing China,semeantic,: capital-common-countries
Madrid Spain Berlin Germany,semeantic,: capital-common-countries
Madrid Spain Bern Switzerland,semeantic,: capital-common-countries
Madrid Spain Cairo Egypt,semeantic,: capital-common-countries
Madrid Spain Canberra Australia,semeantic,: capital-common-countries
Madrid Spain Hanoi Vietnam,semeantic,: capital-common-countries
Madrid Spain Havana Cuba,semeantic,: capital-common-countries
Madrid Spain Helsinki Finland,semeantic,: capital-common-countries
Madrid Spain Islamabad Pakistan,semeantic,: capital-common-countries
Madrid Spain Kabul Afghanistan,semeantic,: capital-common-countries
Madrid Spain London England,semeantic,: capital-common-countries
Moscow Russia Oslo Norway,semeantic,: capital-common-countries
Moscow Russia Ottawa Canada,semeantic,: capital-common-countries
Moscow Russia Paris France,semeantic,: capital-common-countries
Moscow Russia Rome Italy,semeantic,: capital-common-countries
Moscow Russia Stockholm Sweden,semeantic,: capital-common-countries
Moscow Russia Tehran Iran,semeantic,: capital-common-countries
Moscow Russia Tokyo Japan,semeantic,: capital-common-countries
Moscow Russia Athens Greece,semeantic,: capital-common-countries
Moscow Russia Baghdad Iraq,semeantic,: capital-common-countries
Moscow Russia Bangkok Thailand,semeantic,: capital-common-countries
Moscow Russia Beijing China,semeantic,: capital-common-countries
Moscow Russia Berlin Germany,semeantic,: capital-common-countries
Moscow Russia Bern Switzerland,semeantic,: capital-common-countries
Moscow Russia Cairo Egypt,semeantic,: capital-common-countries
Moscow Russia Canberra Australia,semeantic,: capital-common-countries
Moscow Russia Hanoi Vietnam,semeantic,: capital-common-countries
Moscow Russia Havana Cuba,semeantic,: capital-common-countries
Moscow Russia Helsinki Finland,semeantic,: capital-common-countries
Moscow Russia Islamabad Pakistan,semeantic,: capital-common-countries
Moscow Russia Kabul Afghanistan,semeantic,: capital-common-countries
Moscow Russia London England,semeantic,: capital-common-countries
Moscow Russia Madrid Spain,semeantic,: capital-common-countries
Oslo Norway Ottawa Canada,semeantic,: capital-common-countries
Oslo Norway Paris France,semeantic,: capital-common-countries
Oslo Norway Rome Italy,semeantic,: capital-common-countries
Oslo Norway Stockholm Sweden,semeantic,: capital-common-countries
Oslo Norway Tehran Iran,semeantic,: capital-common-countries
Oslo Norway Tokyo Japan,semeantic,: capital-common-countries
Oslo Norway Athens Greece,semeantic,: capital-common-countries
Oslo Norway Baghdad Iraq,semeantic,: capital-common-countries
Oslo Norway Bangkok Thailand,semeantic,: capital-common-countries
Oslo Norway Beijing China,semeantic,: capital-common-countries
Oslo Norway Berlin Germany,semeantic,: capital-common-countries
Oslo Norway Bern Switzerland,semeantic,: capital-common-countries
Oslo Norway Cairo Egypt,semeantic,: capital-common-countries
Oslo Norway Canberra Australia,semeantic,: capital-common-countries
Oslo Norway Hanoi Vietnam,semeantic,: capital-common-countries
Oslo Norway Havana Cuba,semeantic,: capital-common-countries
Oslo Norway Helsinki Finland,semeantic,: capital-common-countries
Oslo Norway Islamabad Pakistan,semeantic,: capital-common-countries
Oslo Norway Kabul Afghanistan,semeantic,: capital-common-countries
Oslo Norway London England,semeantic,: capital-common-countries
Oslo Norway Madrid Spain,semeantic,: capital-common-countries
Oslo Norway Moscow Russia,semeantic,: capital-common-countries
Ottawa Canada Paris France,semeantic,: capital-common-countries
Ottawa Canada Rome Italy,semeantic,: capital-common-countries
Ottawa Canada Stockholm Sweden,semeantic,: capital-common-countries
Ottawa Canada Tehran Iran,semeantic,: capital-common-countries
Ottawa Canada Tokyo Japan,semeantic,: capital-common-countries
Ottawa Canada Athens Greece,semeantic,: capital-common-countries
Ottawa Canada Baghdad Iraq,semeantic,: capital-common-countries
Ottawa Canada Bangkok Thailand,semeantic,: capital-common-countries
Ottawa Canada Beijing China,semeantic,: capital-common-countries
Ottawa Canada Berlin Germany,semeantic,: capital-common-countries
Ottawa Canada Bern Switzerland,semeantic,: capital-common-countries
Ottawa Canada Cairo Egypt,semeantic,: capital-common-countries
Ottawa Canada Canberra Australia,semeantic,: capital-common-countries
Ottawa Canada Hanoi Vietnam,semeantic,: capital-common-countries
Ottawa Canada Havana Cuba,semeantic,: capital-common-countries
Ottawa Canada Helsinki Finland,semeantic,: capital-common-countries
Ottawa Canada Islamabad Pakistan,semeantic,: capital-common-countries
Ottawa Canada Kabul Afghanistan,semeantic,: capital-common-countries
Ottawa Canada London England,semeantic,: capital-common-countries
Ottawa Canada Madrid Spain,semeantic,: capital-common-countries
Ottawa Canada Moscow Russia,semeantic,: capital-common-countries
Ottawa Canada Oslo Norway,semeantic,: capital-common-countries
Paris France Rome Italy,semeantic,: capital-common-countries
Paris France Stockholm Sweden,semeantic,: capital-common-countries
Paris France Tehran Iran,semeantic,: capital-common-countries
Paris France Tokyo Japan,semeantic,: capital-common-countries
Paris France Athens Greece,semeantic,: capital-common-countries
Paris France Baghdad Iraq,semeantic,: capital-common-countries
Paris France Bangkok Thailand,semeantic,: capital-common-countries
Paris France Beijing China,semeantic,: capital-common-countries
Paris France Berlin Germany,semeantic,: capital-common-countries
Paris France Bern Switzerland,semeantic,: capital-common-countries
Paris France Cairo Egypt,semeantic,: capital-common-countries
Paris France Canberra Australia,semeantic,: capital-common-countries
Paris France Hanoi Vietnam,semeantic,: capital-common-countries
Paris France Havana Cuba,semeantic,: capital-common-countries
Paris France Helsinki Finland,semeantic,: capital-common-countries
Paris France Islamabad Pakistan,semeantic,: capital-common-countries
Paris France Kabul Afghanistan,semeantic,: capital-common-countries
Paris France London England,semeantic,: capital-common-countries
Paris France Madrid Spain,semeantic,: capital-common-countries
Paris France Moscow Russia,semeantic,: capital-common-countries
Paris France Oslo Norway,semeantic,: capital-common-countries
Paris France Ottawa Canada,semeantic,: capital-common-countries
Rome Italy Stockholm Sweden,semeantic,: capital-common-countries
Rome Italy Tehran Iran,semeantic,: capital-common-countries
Rome Italy Tokyo Japan,semeantic,: capital-common-countries
Rome Italy Athens Greece,semeantic,: capital-common-countries
Rome Italy Baghdad Iraq,semeantic,: capital-common-countries
Rome Italy Bangkok Thailand,semeantic,: capital-common-countries
Rome Italy Beijing China,semeantic,: capital-common-countries
Rome Italy Berlin Germany,semeantic,: capital-common-countries
Rome Italy Bern Switzerland,semeantic,: capital-common-countries
Rome Italy Cairo Egypt,semeantic,: capital-common-countries
Rome Italy Canberra Australia,semeantic,: capital-common-countries
Rome Italy Hanoi Vietnam,semeantic,: capital-common-countries
Rome Italy Havana Cuba,semeantic,: capital-common-countries
Rome Italy Helsinki Finland,semeantic,: capital-common-countries
Rome Italy Islamabad Pakistan,semeantic,: capital-common-countries
Rome Italy Kabul Afghanistan,semeantic,: capital-common-countries
Rome Italy London England,semeantic,: capital-common-countries
Rome Italy Madrid Spain,semeantic,: capital-common-countries
Rome Italy Moscow Russia,semeantic,: capital-common-countries
Rome Italy Oslo Norway,semeantic,: capital-common-countries
Rome Italy Ottawa Canada,semeantic,: capital-common-countries
Rome Italy Paris France,semeantic,: capital-common-countries
Stockholm Sweden Tehran Iran,semeantic,: capital-common-countries
Stockholm Sweden Tokyo Japan,semeantic,: capital-common-countries
Stockholm Sweden Athens Greece,semeantic,: capital-common-countries
Stockholm Sweden Baghdad Iraq,semeantic,: capital-common-countries
Stockholm Sweden Bangkok Thailand,semeantic,: capital-common-countries
Stockholm Sweden Beijing China,semeantic,: capital-common-countries
Stockholm Sweden Berlin Germany,semeantic,: capital-common-countries
Stockholm Sweden Bern Switzerland,semeantic,: capital-common-countries
Stockholm Sweden Cairo Egypt,semeantic,: capital-common-countries
Stockholm Sweden Canberra Australia,semeantic,: capital-common-countries
Stockholm Sweden Hanoi Vietnam,semeantic,: capital-common-countries
Stockholm Sweden Havana Cuba,semeantic,: capital-common-countries
Stockholm Sweden Helsinki Finland,semeantic,: capital-common-countries
Stockholm Sweden Islamabad Pakistan,semeantic,: capital-common-countries
Stockholm Sweden Kabul Afghanistan,semeantic,: capital-common-countries
Stockholm Sweden London England,semeantic,: capital-common-countries
Stockholm Sweden Madrid Spain,semeantic,: capital-common-countries
Stockholm Sweden Moscow Russia,semeantic,: capital-common-countries
Stockholm Sweden Oslo Norway,semeantic,: capital-common-countries
Stockholm Sweden Ottawa Canada,semeantic,: capital-common-countries
Stockholm Sweden Paris France,semeantic,: capital-common-countries
Stockholm Sweden Rome Italy,semeantic,: capital-common-countries
Tehran Iran Tokyo Japan,semeantic,: capital-common-countries
Tehran Iran Athens Greece,semeantic,: capital-common-countries
Tehran Iran Baghdad Iraq,semeantic,: capital-common-countries
Tehran Iran Bangkok Thailand,semeantic,: capital-common-countries
Tehran Iran Beijing China,semeantic,: capital-common-countries
Tehran Iran Berlin Germany,semeantic,: capital-common-countries
Tehran Iran Bern Switzerland,semeantic,: capital-common-countries
Tehran Iran Cairo Egypt,semeantic,: capital-common-countries
